iter	Logloss
0	0.6823573354
1	0.6709993315
2	0.6607913105
3	0.6506009445
4	0.6440004271
5	0.6360597501
6	0.6272562942
7	0.6214068403
8	0.6136673309
9	0.6058945576
10	0.6006266153
11	0.5957025852
12	0.5893404981
13	0.5845529433
14	0.5801147876
15	0.5763517713
16	0.5717468569
17	0.5677734557
18	0.5624036094
19	0.5574053981
20	0.5546020033
21	0.5498865634
22	0.5467204349
23	0.5440246686
24	0.5412518665
25	0.5384214247
26	0.5348130204
27	0.5314654115
28	0.5288961717
29	0.5265321098
30	0.5235987795
31	0.520421189
32	0.5175983993
33	0.515498342
34	0.5128526831
35	0.510234676
36	0.5084087682
37	0.5065088789
38	0.5042002909
39	0.5025231198
40	0.5006949028
41	0.4987629901
42	0.4966364723
43	0.4952499551
44	0.4939773487
45	0.4921795979
46	0.4910556087
47	0.489486223
48	0.4877829526
49	0.4866091884
50	0.4853891663
51	0.4840499836
52	0.4827697971
53	0.482017733
54	0.48104796
55	0.4800367488
56	0.4787033649
57	0.4776669455
58	0.4763433758
59	0.4755074451
60	0.4744528013
61	0.4733979146
62	0.4723739167
63	0.4712385837
64	0.4701712964
65	0.4692267886
66	0.4685428867
67	0.4677395125
68	0.4668841347
69	0.4661137008
70	0.4650762306
71	0.4639346067
72	0.4631220217
73	0.4621486277
74	0.4614067777
75	0.4608784118
76	0.4601668527
77	0.4591887883
78	0.4587168665
79	0.4581357598
80	0.4575983504
81	0.4569544331
82	0.4564305176
83	0.4556585052
84	0.4550469126
85	0.4544558253
86	0.4536760606
87	0.4530130779
88	0.4522274938
89	0.451561611
90	0.4509740104
91	0.4505031734
92	0.4499547249
93	0.449277112
94	0.448772135
95	0.448364453
96	0.4477386741
97	0.4473237473
98	0.446602223
99	0.445979737
100	0.4456373735
101	0.4450721361
102	0.4445924538
103	0.4441622409
104	0.4436610428
105	0.4430023553
106	0.4424637937
107	0.441955465
108	0.4416207785
109	0.4412500169
110	0.4406870453
111	0.4401692907
112	0.4397190726
113	0.4393200569
114	0.4389981538
115	0.4385490884
116	0.4382197471
117	0.4379424605
118	0.4375145463
119	0.4372536788
120	0.4367757139
121	0.4362834215
122	0.4359752933
123	0.4355284585
124	0.4351694099
125	0.434700018
126	0.4343471705
127	0.4339486084
128	0.4336922815
129	0.433442542
130	0.4330130253
131	0.4326330706
132	0.4321485015
133	0.4317393479
134	0.4312143488
135	0.4308012333
136	0.4304823803
137	0.4300640297
138	0.4296422703
139	0.4292596757
140	0.4288591244
141	0.4285270737
142	0.4282277334
143	0.4278139779
144	0.427413432
145	0.4270292373
146	0.426566398
147	0.4262894766
148	0.4259869732
149	0.4256928677
150	0.425347529
