iter	Passed	Remaining
0	1	1858
1	3	1764
2	5	1739
3	6	1714
4	8	1692
5	10	1691
6	11	1672
7	13	1660
8	15	1657
9	16	1655
10	18	1651
11	19	1644
12	21	1640
13	23	1636
14	24	1634
15	26	1628
16	28	1625
17	29	1622
18	31	1620
19	33	1631
20	34	1629
21	36	1634
22	38	1635
23	40	1633
24	41	1630
25	43	1631
26	45	1632
27	46	1629
28	48	1638
29	51	1649
30	52	1655
31	54	1655
32	56	1652
33	58	1652
34	59	1649
35	61	1645
36	63	1643
37	64	1645
38	66	1644
39	68	1643
40	70	1641
41	71	1638
42	73	1637
43	75	1634
44	76	1633
45	78	1632
46	80	1631
47	82	1629
48	83	1627
49	85	1626
50	87	1624
51	88	1620
52	90	1618
53	92	1616
54	93	1614
55	95	1612
56	97	1609
57	99	1608
58	100	1605
59	102	1602
60	103	1600
61	105	1598
62	107	1596
63	109	1595
64	110	1594
65	112	1593
66	114	1591
67	115	1588
68	117	1586
69	119	1584
70	120	1582
71	122	1580
72	124	1579
73	126	1577
74	127	1574
75	129	1572
76	131	1570
77	132	1569
78	134	1567
79	136	1566
80	137	1565
81	139	1563
82	141	1563
83	143	1561
84	144	1559
85	146	1558
86	148	1556
87	149	1554
88	151	1552
89	153	1551
90	155	1551
91	156	1549
92	158	1547
93	160	1545
94	161	1543
95	163	1540
96	165	1539
97	167	1537
98	168	1535
99	170	1534
100	172	1532
101	173	1530
102	175	1528
103	177	1526
104	178	1524
105	180	1522
106	182	1520
107	183	1518
108	185	1517
109	187	1514
110	188	1512
111	190	1511
112	192	1510
113	194	1508
114	195	1506
115	197	1505
116	199	1504
117	201	1503
118	202	1501
119	204	1499
120	206	1497
121	207	1495
122	209	1493
123	211	1491
124	212	1490
125	214	1488
126	216	1487
127	217	1485
128	219	1483
129	221	1482
130	223	1480
131	224	1478
132	226	1476
133	228	1475
134	229	1473
135	231	1471
136	233	1469
137	234	1467
138	236	1465
139	238	1463
140	239	1462
141	241	1460
142	243	1458
143	244	1456
144	246	1454
145	248	1453
146	250	1451
147	251	1449
148	253	1447
149	255	1445
150	256	1443
151	258	1441
152	260	1440
153	261	1438
154	263	1437
155	265	1435
156	266	1433
157	268	1431
158	270	1429
159	272	1428
160	273	1426
161	275	1426
162	277	1424
163	279	1422
164	280	1421
165	282	1419
166	284	1417
167	285	1415
168	287	1414
169	289	1412
170	291	1411
171	292	1409
172	294	1408
173	296	1406
174	297	1404
175	299	1402
176	301	1402
177	303	1400
178	304	1398
179	306	1397
180	308	1395
181	310	1393
182	311	1391
183	313	1389
184	315	1388
185	316	1384
186	317	1382
187	319	1380
188	321	1379
189	323	1377
190	324	1375
191	326	1374
192	328	1373
193	330	1371
194	331	1369
195	333	1367
196	335	1366
197	336	1364
198	338	1362
199	340	1360
200	341	1359
201	343	1357
202	345	1355
203	346	1353
204	348	1352
205	350	1351
206	352	1349
207	354	1347
208	355	1346
209	357	1344
210	359	1343
211	360	1341
212	362	1339
213	364	1337
214	365	1336
215	367	1334
216	369	1332
217	371	1331
218	372	1329
219	374	1328
220	376	1327
221	378	1325
222	379	1323
223	382	1323
224	383	1322
225	385	1320
226	387	1318
227	388	1317
228	390	1315
229	392	1313
230	393	1311
231	395	1309
232	397	1308
233	399	1306
234	400	1303
235	402	1302
236	403	1300
237	405	1298
238	407	1296
239	408	1294
240	410	1292
241	412	1291
242	414	1289
243	415	1288
244	417	1286
245	419	1284
246	420	1283
247	422	1281
248	424	1280
249	426	1278
250	427	1276
251	429	1275
252	431	1273
253	432	1271
254	434	1269
255	436	1268
256	438	1266
257	439	1264
258	441	1263
259	443	1262
260	444	1259
261	446	1258
262	448	1256
263	450	1255
264	451	1253
265	453	1251
266	455	1250
267	457	1248
268	458	1246
269	460	1245
270	462	1243
271	463	1241
272	465	1239
273	467	1238
274	468	1236
275	470	1234
276	472	1232
277	473	1230
278	475	1229
279	477	1227
280	478	1225
281	480	1223
282	482	1222
283	484	1220
284	485	1218
285	487	1217
286	489	1215
287	491	1214
288	492	1212
289	494	1210
290	496	1209
291	497	1207
292	499	1205
293	501	1203
294	503	1202
295	504	1200
296	506	1198
297	508	1196
298	509	1195
299	511	1193
300	513	1191
301	514	1189
302	516	1187
303	518	1186
304	519	1184
305	521	1183
306	523	1181
307	525	1180
308	526	1178
309	528	1176
310	530	1174
311	532	1173
312	533	1171
313	535	1170
314	537	1168
315	539	1167
316	540	1165
317	542	1163
318	544	1161
319	545	1160
320	547	1158
321	549	1157
322	551	1155
323	553	1154
324	554	1152
325	556	1150
326	558	1148
327	559	1147
328	561	1145
329	563	1144
330	565	1142
331	566	1140
332	568	1138
333	570	1136
334	571	1135
335	573	1133
336	575	1131
337	576	1129
338	578	1128
339	580	1127
340	582	1125
341	584	1124
342	585	1122
343	587	1120
344	589	1118
345	590	1116
346	592	1115
347	594	1113
348	596	1112
349	597	1110
350	599	1108
351	601	1107
352	603	1105
353	604	1103
354	606	1102
355	608	1100
356	610	1099
357	611	1097
358	613	1095
359	615	1094
360	617	1092
361	618	1090
362	620	1088
363	622	1087
364	624	1085
365	625	1084
366	627	1082
367	629	1080
368	630	1078
369	632	1077
370	634	1075
371	636	1073
372	637	1072
373	639	1070
374	641	1068
375	643	1067
376	644	1065
377	646	1063
378	648	1062
379	649	1060
380	651	1058
381	653	1056
382	654	1055
383	656	1053
384	658	1051
385	659	1049
386	661	1048
387	663	1046
388	664	1044
389	666	1042
390	668	1041
391	670	1039
392	672	1037
393	673	1036
394	675	1034
395	677	1032
396	678	1031
397	680	1029
398	682	1027
399	684	1026
400	686	1024
401	687	1023
402	689	1021
403	691	1019
404	692	1017
405	694	1016
406	696	1014
407	698	1012
408	699	1011
409	701	1009
410	703	1007
411	705	1006
412	706	1004
413	708	1003
414	710	1001
415	712	999
416	713	998
417	715	996
418	717	994
419	718	992
420	720	991
421	722	989
422	723	987
423	725	985
424	727	984
425	729	982
426	730	980
427	732	979
428	734	977
429	735	975
430	737	973
431	739	972
432	741	970
433	742	968
434	744	967
435	746	965
436	748	963
437	749	962
438	751	960
439	753	958
440	755	957
441	756	955
442	758	953
443	760	951
444	761	950
445	763	948
446	765	946
447	766	944
448	768	943
449	770	941
450	771	939
451	773	938
452	775	936
453	777	934
454	778	932
455	780	931
456	782	929
457	783	927
458	785	925
459	787	924
460	789	922
461	790	920
462	792	919
463	794	917
464	795	915
465	797	913
466	799	912
467	800	910
468	802	908
469	804	907
470	806	905
471	807	903
472	809	901
473	811	900
474	812	898
475	814	896
476	816	895
477	818	893
478	820	891
479	821	890
480	823	888
481	825	886
482	826	884
483	828	883
484	830	881
485	831	879
486	833	878
487	835	876
488	837	874
489	838	873
490	840	871
491	842	869
492	844	868
493	845	866
494	847	864
495	849	862
496	850	861
497	852	859
498	854	857
499	856	856
500	858	854
501	859	852
502	861	851
503	863	850
504	865	848
505	867	846
506	869	845
507	870	843
508	872	841
509	874	840
510	876	838
511	878	836
512	880	835
513	881	833
514	883	832
515	885	830
516	887	828
517	889	827
518	890	825
519	892	824
520	897	825
521	899	823
522	902	822
523	905	822
524	908	821
525	910	820
526	912	819
527	915	818
528	917	816
529	919	815
530	921	814
531	924	813
532	926	812
533	929	810
534	931	809
535	933	808
536	936	807
537	938	805
